date,pm25,pm10,o3,no2,so2,co
30/10/2022,158,33,23,10,0,3
31/10/2022,65,28,19,15,0,2
01/11/2022,42,61,21,20,1,4
02/11/2022,104,46,22,11,1,4
03/11/2022,81,31,25,7,0,2
04/11/2022,45,54,18,19,0,3
05/11/2022,104,99,10,31,1,7
06/11/2022,170,40,26,18,0,4
07/11/2022,67,64,21,25,0,5
08/11/2022,120,89,14,32,1,7
09/11/2022,169,82,36,15,0,7
10/11/2022,176,76,8,17,0,15
11/11/2022,161,4,23,5,0,5
12/11/2022,16,14,19,6,0,1
13/11/2022,31,53,6,22,0,5
14/11/2022,104,41,24,20,0,5
15/11/2022,75,49,14,25,0,5
16/11/2022,71,80,11,28,1,7
17/11/2022,145,95,9,30,1,10
18/11/2022,174,101,21,21,1,8
19/11/2022,180,137,3,26,0,12
20/11/2022,219,52,21,14,1,4
21/11/2022,106,58,18,20,0,4
22/11/2022,118,77,15,28,0,6
23/11/2022,159,117,6,36,0,9
24/11/2022,193,73,26,18,0,7
25/11/2022,102,23,22,5,0,2
26/11/2022,25,38,17,14,2,6
27/11/2022,68,78,22,11,2,4
28/11/2022,95,47,20,1,2,2
29/11/2022,40,29,21,3,1,2
30/11/2022,39,31,19,6,0,1
01/12/2022,41,61,5,24,3,5
02/12/2022,119,29,25,11,0,2
03/12/2022,49,29,17,12,0,1
04/12/2022,48,43,21,19,1,3
05/12/2022,76,55,19,26,1,5
06/12/2022,106,42,14,25,0,4
07/12/2022,82,36,23,20,0,3
08/12/2022,67,63,14,29,2,5
09/12/2022,120,19,25,6,1,1
10/12/2022,34,20,23,10,0,1
11/12/2022,36,569,25,9,1,2
12/12/2022,229,91,24,1,0,1
13/12/2022,74,50,17,13,0,3
14/12/2022,64,38,21,10,1,2
15/12/2022,50,22,25,4,1,1
16/12/2022,29,31,23,2,0,1
17/12/2022,28,36,16,15,0,1
18/12/2022,48,45,17,21,0,3
19/12/2022,70,59,26,28,1,5
20/12/2022,102,29,22,6,0,1
21/12/2022,40,17,23,3,0,1
22/12/2022,21,17,25,8,0,1
23/12/2022,31,24,24,11,0,2
24/12/2022,48,33,17,19,0,3
25/12/2022,67,46,21,16,0,2
26/12/2022,71,32,23,9,1,2
27/12/2022,46,36,17,13,1,2
28/12/2022,61,21,24,10,0,2
29/12/2022,41,39,13,25,0,4
30/12/2022,70,52,17,21,1,4
31/12/2022,77,34,19,16,1,3
01/01/2023,62,16,21,8,0,2
01/07/2022,55,49,87,8,1,7
02/07/2022,109,29,50,5,1,6
03/07/2022,67,28,49,9,0,5
04/07/2022,65,49,60,9,0,6
05/07/2022,110,13,51,7,0,3
06/07/2022,30,25,85,13,0,3
07/07/2022,47,37,71,14,0,3
08/07/2022,59,29,38,19,0,2
09/07/2022,37,18,47,7,0,3
10/07/2022,29,38,53,13,0,5
11/07/2022,59,23,42,7,0,4
12/07/2022,46,23,63,11,0,6
13/07/2022,42,20,66,11,0,3
14/07/2022,31,30,64,17,0,3
15/07/2022,34,55,120,15,1,7
16/07/2022,74,33,46,12,0,3
17/07/2022,48,25,58,8,0,4
18/07/2022,34,41,95,14,0,4
19/07/2022,46,46,74,10,0,4
20/07/2022,75,39,111,10,0,3
21/07/2022,59,54,85,15,0,4
22/07/2022,70,18,66,7,0,2
23/07/2022,32,44,106,11,0,3
24/07/2022,67,43,90,9,0,2
25/07/2022,60,38,76,7,0,4
26/07/2022,74,29,40,6,1,6
27/07/2022,49,7,46,5,1,2
28/07/2022,17,26,79,10,1,3
29/07/2022,50,45,76,8,0,5
30/07/2022,82,38,74,10,1,3
31/07/2022,68,55,92,10,0,4
01/08/2022,89,54,74,12,0,4
02/08/2022,103,49,73,8,9,3
03/08/2022,91,51,73,7,0,4
04/08/2022,94,25,93,7,1,3
05/08/2022,56,40,49,14,1,5
06/08/2022,67,38,67,9,0,6
07/08/2022,81,13,26,8,0,3
08/08/2022,33,14,30,7,0,2
09/08/2022,28,23,57,9,1,3
10/08/2022,42,40,64,8,0,4
11/08/2022,57,50,77,7,0,6
12/08/2022,85,58,76,10,0,7
13/08/2022,118,43,28,8,0,9
14/08/2022,75,17,32,10,1,5
15/08/2022,35,12,52,10,0,2
16/08/2022,24,45,60,8,1,3
17/08/2022,65,43,41,9,0,5
18/08/2022,71,17,31,8,0,4
19/08/2022,38,22,52,12,0,3
20/08/2022,43,44,70,8,0,4
21/08/2022,67,17,48,6,1,2
22/08/2022,38,8,20,8,0,1
23/08/2022,19,22,43,7,0,2
24/08/2022,32,25,29,8,1,2
25/08/2022,36,20,21,9,0,1
26/08/2022,23,16,27,8,0,1
27/08/2022,18,42,25,16,0,2
28/08/2022,55,29,30,5,0,2
29/08/2022,59,36,61,9,0,3
30/08/2022,86,11,32,11,0,1
31/08/2022,26,26,45,9,0,1
01/09/2022,30,39,51,13,0,2
02/09/2022,54,54,60,18,0,4
03/09/2022,87,48,63,12,0,4
04/09/2022,114,13,33,9,0,1
05/09/2022,18,26,29,15,0,2
06/09/2022,32,33,51,14,0,3
07/09/2022,45,53,97,18,0,4
08/09/2022,70,69,124,20,0,7
09/09/2022,115,68,118,19,0,8
10/09/2022,131,46,79,9,0,5
11/09/2022,84,64,98,11,0,6
12/09/2022,128,69,83,17,1,7
13/09/2022,140,44,56,10,0,5
14/09/2022,91,42,66,9,0,4
15/09/2022,67,47,79,14,0,4
16/09/2022,78,69,95,17,1,6
17/09/2022,109,30,36,12,0,3
18/09/2022,44,25,31,12,0,1
19/09/2022,28,24,32,7,0,1
20/09/2022,28,51,54,15,1,3
21/09/2022,66,47,31,8,0,3
22/09/2022,59,24,28,4,0,1
23/09/2022,18,42,43,14,1,2
24/09/2022,57,83,76,21,2,5
25/09/2022,129,90,101,31,2,8
26/09/2022,148,90,101,31,1,7
27/09/2022,141,91,98,28,1,8
28/09/2022,137,97,111,28,1,9
29/09/2022,158,102,104,31,1,9
30/09/2022,160,78,50,19,0,6
01/04/2022,40,29,36,10,0,2
02/04/2022,52,52,49,11,0,2
03/04/2022,74,82,74,10,1,5
04/04/2022,152,73,40,12,0,3
05/04/2022,112,52,31,6,1,2
06/04/2022,44,60,31,15,1,2
07/04/2022,72,100,84,16,3,9
08/04/2022,163,106,65,17,1,8
09/04/2022,163,113,95,15,2,10
10/04/2022,176,115,37,19,0,8
11/04/2022,145,69,43,5,0,2
12/04/2022,53,50,48,7,0,2
13/04/2022,77,25,37,8,0,2
14/04/2022,35,21,38,4,0,1
15/04/2022,27,34,40,10,0,1
16/04/2022,63,73,33,19,1,4
17/04/2022,141,83,76,17,2,5
18/04/2022,157,71,54,20,1,5
19/04/2022,125,68,74,12,1,4
20/04/2022,114,84,39,8,1,3
21/04/2022,87,35,43,4,0,1
22/04/2022,44,72,64,12,1,4
23/04/2022,96,96,81,18,3,8
24/04/2022,134,101,83,19,1,11
25/04/2022,163,75,38,6,1,3
26/04/2022,122,26,29,5,0,2
27/04/2022,42,21,34,5,0,3
28/04/2022,50,49,41,8,0,3
29/04/2022,126,11,37,4,1,1
30/04/2022,69,31,40,13,0,1
01/05/2022,59,46,57,16,1,4
02/05/2022,87,58,79,14,1,3
03/05/2022,111,69,94,14,1,2
04/05/2022,130,66,96,7,1,3
05/05/2022,139,49,36,5,0,2
06/05/2022,87,32,34,9,0,2
07/05/2022,93,24,30,6,0,2
08/05/2022,59,29,46,9,0,2
09/05/2022,75,58,31,9,0,2
10/05/2022,149,38,39,9,3,6
11/05/2022,118,21,39,4,1,3
12/05/2022,59,18,36,5,0,1
13/05/2022,51,15,38,5,1,1
14/05/2022,46,22,40,9,2,3
15/05/2022,55,23,47,9,1,3
16/05/2022,67,57,79,13,2,4
17/05/2022,104,37,53,9,1,3
18/05/2022,88,67,104,16,1,8
19/05/2022,128,78,119,17,2,7
20/05/2022,149,64,114,12,1,5
21/05/2022,133,64,124,11,2,4
22/05/2022,125,57,93,7,0,4
23/05/2022,104,56,93,9,0,6
24/05/2022,102,16,40,2,0,1
25/05/2022,20,22,36,7,0,2
26/05/2022,32,36,60,11,1,5
27/05/2022,52,64,123,8,2,4
28/05/2022,85,36,51,4,0,2
